orig_id,dupe_id,Name1,Name2
84,12982,TeraRecon,TeraRecon
188,24656,TruGreen - MidSouth,TruGreen - MidSouth
188,24994,TruGreen - MidSouth,TruGreen - MidSouth
188,25350,TruGreen - MidSouth,TruGreen - MidSouth
192,24366,Nutri-Lawn,Nutri-Lawn
192,25060,Nutri-Lawn,Nutri-Lawn
192,25438,Nutri-Lawn,Nutri-Lawn
206,24712,Perschel & Meyer,Perschel & Meyer
206,25036,Perschel & Meyer,Perschel & Meyer
206,25612,Perschel & Meyer,Perschel & Meyer
210,24252,Project Spark,Project Spark
210,25134,Project Spark,Project Spark
210,25270,Project Spark,Project Spark
214,24308,Bastille,Bastille
214,24726,Bastille,Bastille
214,25236,Bastille,Bastille
214,25776,Bastille,Bastille
224,24292,John Morton,John Morton
224,25058,John Morton,John Morton
224,25200,John Morton,John Morton
236,24610,Arbor Care: Plant Diagnostics & Treatment,Arbor Care: Plant Diagnostics & Treatment
236,25222,Arbor Care: Plant Diagnostics & Treatment,Arbor Care: Plant Diagnostics & Treatment
236,25764,Arbor Care: Plant Diagnostics & Treatment,Arbor Care: Plant Diagnostics & Treatment
240,25054,Unlimited Landscaping,Unlimited Landscaping
240,25218,Unlimited Landscaping,Unlimited Landscaping
240,25694,Unlimited Landscaping,Unlimited Landscaping
242,24698,Weed Pro,Weed Pro
242,25070,Weed Pro,Weed Pro
242,25634,Weed Pro,Weed Pro
248,25030,Duke Radiology,Duke Radiology
248,25418,Duke Radiology,Duke Radiology
248,25742,Duke Radiology,Duke Radiology
252,24616,Gregory Pest Solution,Gregory Pest Solution
252,25356,Gregory Pest Solution,Gregory Pest Solution
252,25674,Gregory Pest Solution,Gregory Pest Solution
254,23736,Turner Pest Control,Turner Pest Control
254,24516,Turner Pest Control,Turner Pest Control
254,24724,Turner Pest Control,Turner Pest Control
254,25166,Turner Pest Control,Turner Pest Control
254,25522,Turner Pest Control,Turner Pest Control
262,25274,Brett Tomson,Brett Tomson
262,25336,Brett Tomson,Brett Tomson
262,25668,Brett Tomson,Brett Tomson
268,24728,EBY,EBY
268,24924,EBY,EBY
268,25462,EBY,EBY
278,24830,Scotts Lawn Service,Scotts Lawn Service
278,25528,Scotts Lawn Service,Scotts Lawn Service
