Name,ID
"Cincinnati Sub-Zero Products, Inc.",1001
WoodMaxx Power Equipment Ltd,1002
Design Concepts of Niagara,1003
Fecon,1004
"Gator-Made, Inc.",1005
Flow International Corporation,1006
"Smc, LLC",1007
"Stantek, LLC",1008
Linak U.S. Inc.,1009
"Miyama U.S.A., Inc.",1010
Vogt Ice,1011
"Manitowoc Beverage Equipment, Inc.",1012
Ohio Laser,1013
Ecolab Inc.,1014
"Misa Metal Fabricating, Inc.",1015
Unicarriers Americas Corporation,1016
Ohio Steel Industries,1017
Cabbage Cases Inc.,1018
"The Superior Die, Tool & Machine Co.",1019
Gorman-Rupp Pumps,1020
Tracewell Systems,1021
Simpson Stronge Tie,1022
Staco Energy Products Co.,1023
Ambaflex,1024
Rayco Mfg.,1025
Magni-Power Company,1026
Cen-MacMetalworks,1027
Ithaca Gun Company,1028
Action Group Fabrication Solutions,1029
Figley Stamping Co.,1030
"Dixie Chopper, Magic Circle Corp",1031
"A.R.E. Accessories, LLC",1032
Ada Technologies Inc.,1033
Addison Mckee Inc.,1034
"Advics Mfg. Ohio, Inc.",1035
AIMS,1036
Air Enterprises Acquisition LLC,1037
"Air Technical Industries, Inc",1038
Air Trim,1039
"Aisin Drivetrain, Inc",1040
Akron Brass Company,1041
AM General LLC,1042
"American Augers, Inc.",1043
American Cutting Edge,1044
Rev-A-Shelf,1045
Inventure Civil LLC,1046
"American Rugged Enclosures, Inc",1047
"AMG Industries, Inc.",1048
Applegate Livestock Equipment,1049
"Arvin Sango, Inc.",1050
"ATC Lighting & Plastics, Inc.",1051
ArtiCure,1052
Auto Valve,1053
American Lifts (Autoquip),1054
Auto-Vehicle Parts Co.,1055
"Barbco, Inc.",1056
"Bard Manufacturing Company, Inc",1057
BCU,1058
Bennett Machine & Stamping Company,1059
Bergstrom Company Limited Partnership,1060
"Braun Industries, Inc.",1061
Besi Manufacturing Inc,1062
"Bettcher Industries, Inc.",1063
Bitec,1064
Bradshire Technologies,1065
Brinly Hardy,1066
BWI Group,1067
C. Nelson Manufacturing Co.,1068
Caltherm Corporation,1069
"Canton Elevator, Inc",1070
"Capco, LLC",1071
Cardington Yutaka Technologies Inc.,1072
Carlisle Brake,1073
Carman Industries Inc.,1074
"Carrier Vibrating Equipment, Inc",1075
Cas Corp,1076
Cascade Corporation,1077
CB MFG & Sales,1078
CBT Company,1079
Chick Master Incubator Co.,1080
Chip Blaster,1081
Cold Jet,1082
Coldwater Machine Co.,1083
Connector Manufacturing Company,1084
"Control Transformer, Inc.",1085
Controlled Access,1086
Banner,1087
Sports Imports,1088
Hendrickson,1089
Sunfield,1090
Ametek Solidate Controls,1091
S&K Products,1092
Pax Machine Works Inc.,1093
American Decorative Ceilings,1094
The Manitowoc Company Inc,1095
Hill-Rom Inc.,1096
Conveyer & Casters-EFI,1097
CPathe,1098
D & E Machine Co.,1099
Dana Canada Corporation,1100
Darko Inc.,1101
"Dart Controls, Inc.",1102
Day-Tec Tool & Mfg.,1103
Defiance Metal Products Co.,1104
Delta T Corporation,1105
